date,1. open,2. high,3. low,4. close,5. volume
2021-05-25 19:58:00,251.95,251.95,251.95,251.95,1015.0
2021-05-25 19:50:00,251.87,251.87,251.87,251.87,290.0
2021-05-25 19:38:00,252.05,252.05,252.05,252.05,2226.0
2021-05-25 19:34:00,252.02,252.05,252.02,252.05,1000.0
2021-05-25 19:32:00,251.9,251.9,251.9,251.9,555.0
2021-05-25 19:25:00,251.97,252.0,251.97,252.0,2200.0
2021-05-25 19:21:00,251.97,251.97,251.97,251.97,570.0
2021-05-25 19:06:00,252.01,252.01,252.01,252.01,1000.0
2021-05-25 19:03:00,252.1,252.1,252.1,252.1,609.0
2021-05-25 19:02:00,252.1,252.1,252.1,252.1,505.0
2021-05-25 19:01:00,252.05,252.05,252.05,252.05,278.0
2021-05-25 18:58:00,252.0,252.4,252.0,252.4,5823.0
2021-05-25 18:57:00,251.98,252.0,251.98,252.0,1715.0
2021-05-25 18:50:00,251.9,251.9,251.9,251.9,201.0
2021-05-25 18:43:00,251.92,251.92,251.9,251.9,2265.0
2021-05-25 18:42:00,251.92,251.92,251.92,251.92,200.0
2021-05-25 18:41:00,251.92,251.92,251.92,251.92,465.0
2021-05-25 18:39:00,251.9,251.94,251.9,251.94,290.0
2021-05-25 18:34:00,251.85,251.85,251.85,251.85,483.0
2021-05-25 18:27:00,251.73,251.73,251.73,251.73,250.0
2021-05-25 18:25:00,251.85,251.85,251.85,251.85,534.0
2021-05-25 18:19:00,251.6,251.6,251.6,251.6,200.0
2021-05-25 18:17:00,251.85,251.85,251.85,251.85,104.0
2021-05-25 18:11:00,251.75,251.75,251.75,251.75,846.0
2021-05-25 18:06:00,251.69,251.75,251.54,251.54,647.0
2021-05-25 18:03:00,251.72,251.72,251.72,251.72,554.0
2021-05-25 18:02:00,251.72,251.72,251.72,251.72,502.0
2021-05-25 18:01:00,251.7,251.7,251.7,251.7,500.0
2021-05-25 17:59:00,251.61,251.61,251.6,251.6,642.0
2021-05-25 17:58:00,251.61,251.61,251.61,251.61,377.0
2021-05-25 17:37:00,251.7,251.7,251.7,251.7,215.0
2021-05-25 17:36:00,251.7,251.7,251.6999,251.7,889.0
2021-05-25 17:35:00,251.7,251.7,251.7,251.7,293.0
2021-05-25 17:30:00,251.7,251.7,251.7,251.7,104.0
2021-05-25 17:29:00,251.7,251.7,251.7,251.7,121.0
2021-05-25 17:11:00,251.72,251.72,251.72,251.72,415.0
2021-05-25 17:08:00,251.72,251.72,251.72,251.72,160.0
2021-05-25 16:59:00,251.7,251.7,251.7,251.7,658.0
2021-05-25 16:48:00,251.69,251.69,251.69,251.69,412.0
2021-05-25 16:45:00,251.66,251.66,251.66,251.66,857.0
2021-05-25 16:42:00,251.66,251.66,251.66,251.66,359.0
2021-05-25 16:38:00,251.65,251.65,251.65,251.65,924.0
2021-05-25 16:37:00,251.63,251.64,251.63,251.64,1110.0
2021-05-25 16:36:00,251.61,251.64,251.61,251.64,408.0
2021-05-25 16:35:00,251.63,251.64,251.6,251.64,814.0
2021-05-25 16:34:00,251.64,251.64,251.6,251.6,2843.0
2021-05-25 16:33:00,251.57,251.6,251.57,251.6,934.0
2021-05-25 16:31:00,251.6,251.6,251.6,251.6,347.0
2021-05-25 16:30:00,251.57,251.57,251.57,251.57,504.0
2021-05-25 16:22:00,251.6,251.6,251.6,251.6,118.0
2021-05-25 16:21:00,251.55,251.55,251.55,251.55,2527.0
2021-05-25 16:20:00,251.55,251.55,251.55,251.55,361.0
2021-05-25 16:15:00,251.37,251.47,251.37,251.47,6683.0
2021-05-25 16:14:00,251.67,251.72,251.52,251.52,5720.0
2021-05-25 16:13:00,251.72,251.73,251.72,251.72,14518.0
2021-05-25 16:12:00,251.76,251.76,251.76,251.76,2528.0
2021-05-25 16:10:00,251.8,251.8,251.8,251.8,295.0
2021-05-25 16:09:00,251.72,251.72,251.72,251.72,2072.0
2021-05-25 16:08:00,251.73,251.73,251.73,251.73,2233.0
2021-05-25 16:07:00,251.78,251.78,251.72,251.72,2789.0
2021-05-25 16:06:00,251.77,251.83,251.77,251.83,1190.0
2021-05-25 16:05:00,251.72,251.72,251.72,251.72,80664.0
2021-05-25 16:03:00,251.87,251.97,251.72,251.97,361586.0
2021-05-25 16:02:00,251.72,251.8,251.72,251.8,1956.0
2021-05-25 16:01:00,251.72,251.9,251.72,251.72,843625.0
2021-05-25 16:00:00,251.58,251.86,251.5,251.85,310217.0
2021-05-25 15:59:00,251.625,251.71,251.533,251.58,146079.0
2021-05-25 15:58:00,251.55,251.67,251.48,251.6241,128830.0
2021-05-25 15:57:00,251.43,251.58,251.39,251.56,91520.0
2021-05-25 15:56:00,251.39,251.62,251.33,251.44,123369.0
2021-05-25 15:55:00,251.3925,251.41,251.23,251.38,121597.0
2021-05-25 15:54:00,251.28,251.43,251.27,251.39,107009.0
2021-05-25 15:53:00,251.2,251.46,251.2,251.27,130729.0
2021-05-25 15:52:00,251.295,251.31,251.18,251.2,63326.0
